PRODUCT_ID,PRODUCT_NAME,PRODUCT_CATEGORY,PRICE,PRODUCT_COLOR,MANUFACTURING_DATE,EXPIRATION_DATE,WARRANTY_PERIOD,RATING,WEIGHT_GRAMS,DISCOUNT_PERCENTAGE
prod-00001,Marie Callender's Chicken Pot Pie (1),Frozen Foods,71.72,Orange,2021-01-10,2027-05-14,22 months,4.3,1013,5
prod-00002,Organic Baby Spinach (2),Vegetables,54.45,Green,2021-03-07,2025-05-02,32 months,3.3,316,5
prod-00003,Seedless Red Grapes (3),Fruits,62.34,Green,2021-06-19,2027-01-19,31 months,4.3,1480,5
prod-00004,Cabot Vermont Cheddar (4),Dairy,85.97,Purple,2024-08-11,2028-02-03,34 months,3.4,745,5
prod-00005,Russet Potatoes 5lb (5),Vegetables,90.49,Orange,2022-06-07,2028-11-12,25 months,4.5,1104,0
prod-00006,Doritos Nacho Cheese (6),Snacks,84.38,White,2021-03-10,2028-01-29,8 months,3.7,1409,10
prod-00007,Bananas Bunch (7),Fruits,27.29,Green,2019-09-23,2025-01-31,22 months,4.4,1602,25
prod-00008,Sargento Shredded Cheddar (8),Dairy,7.18,Green,2024-04-28,2027-12-13,10 months,3.1,645,5
prod-00009,Oreo Double Stuf Cookies (9),Snacks,27.65,Yellow,2019-12-21,2027-12-02,16 months,3.8,822,0
prod-00010,Birds Eye Steamfresh Broccoli (10),Frozen Foods,88.11,Green,2023-12-17,2025-11-14,8 months,4.4,1821,20
prod-00011,Oreo Double Stuf Cookies (11),Snacks,72.35,Orange,2023-08-28,2026-08-31,20 months,3.5,1535,5
prod-00012,Kind Protein Bars (12),Snacks,54.78,White,2020-01-02,2028-06-22,19 months,4.6,1067,30
prod-00013,Thomas' English Muffins (13),Bakery,86.76,Yellow,2023-06-29,2026-04-19,10 months,4.3,1454,20
prod-00014,Marie Callender's Chicken Pot Pie (14),Frozen Foods,27.89,Orange,2023-10-22,2027-12-17,13 months,4.2,792,20
prod-00015,Nestle Pure Life Water 6-Pack (15),Beverages,42.27,Black,2019-12-12,2025-01-30,21 months,3.7,883,15
prod-00016,Strawberries 1lb (16),Fruits,65.23,Orange,2023-12-08,2028-04-10,15 months,4.0,1021,0
prod-00017,Sara Lee Honey Wheat Bread (17),Bakery,61.08,Green,2023-11-20,2026-11-01,13 months,4.2,1572,0
prod-00018,Wonder Bread Classic White (18),Bakery,12.26,Purple,2021-06-29,2025-03-19,35 months,3.9,1820,5
prod-00019,Land O'Lakes Butter (19),Dairy,43.82,Black,2023-12-18,2025-01-03,22 months,4.4,1120,5
prod-00020,Starbucks Cold Brew (20),Beverages,38.70,Black,2021-09-03,2028-12-06,31 months,3.9,126,5
prod-00021,Broccoli Crowns (21),Vegetables,66.70,Green,2020-05-09,2025-03-07,30 months,3.4,1235,30
prod-00022,Stouffer's Lasagna (22),Frozen Foods,28.04,Red,2021-07-05,2027-10-19,22 months,3.4,1615,0
prod-00023,Carrots 2lb Bag (23),Vegetables,37.98,Red,2024-04-09,2026-09-02,31 months,3.0,1940,20
prod-00024,Pepsi Zero Sugar (24),Beverages,87.61,Blue,2023-11-08,2028-12-27,13 months,3.6,1260,20
prod-00025,Nestle Pure Life Water 6-Pack (25),Beverages,30.70,Black,2024-06-21,2026-03-09,11 months,4.5,1661,5
prod-00026,Gatorade Lemon-Lime (26),Beverages,77.58,Black,2020-05-06,2027-08-24,29 months,4.6,361,20
prod-00027,Pepsi Zero Sugar (27),Beverages,29.07,Purple,2020-02-13,2025-01-10,12 months,3.4,746,5
prod-00028,Seedless Red Grapes (28),Fruits,42.37,Blue,2022-01-28,2029-02-05,7 months,4.9,1904,25
prod-00029,Stouffer's Lasagna (29),Frozen Foods,96.68,White,2023-08-04,2026-03-04,21 months,4.0,788,10
prod-00030,Green Giant Cauliflower Rice (30),Frozen Foods,71.29,Orange,2023-06-01,2029-04-06,10 months,4.8,621,20
prod-00031,Nestle Pure Life Water 6-Pack (31),Beverages,30.06,Purple,2022-08-12,2028-10-06,18 months,4.4,1422,25
prod-00032,Popcorners Kettle Corn (32),Snacks,53.73,Yellow,2021-01-04,2026-09-10,34 months,4.4,1233,0
prod-00033,Dave's Killer Bread (33),Bakery,46.53,Blue,2022-07-05,2029-07-24,28 months,3.2,1556,25
prod-00034,Navel Oranges (34),Fruits,80.06,Black,2020-08-31,2029-04-26,33 months,3.4,1602,15
prod-00035,Organic Baby Spinach (35),Vegetables,14.05,Red,2024-03-12,2024-09-14,32 months,3.0,723,25
prod-00036,DiGiorno Pepperoni Pizza (36),Frozen Foods,26.55,Purple,2020-10-16,2028-02-23,24 months,4.4,1736,25
prod-00037,Silk Almond Milk (37),Dairy,18.26,Black,2023-09-03,2029-04-07,6 months,3.7,1909,25
prod-00038,Nature Valley Granola Bars (38),Snacks,25.07,Orange,2023-04-14,2026-06-19,27 months,4.6,366,30
prod-00039,Horizon Organic Whole Milk (39),Dairy,23.71,Blue,2021-12-30,2028-04-27,12 months,3.7,877,0
prod-00040,Silk Almond Milk (40),Dairy,19.25,Black,2020-09-18,2027-01-26,29 months,4.6,767,0
prod-00041,Nature Valley Granola Bars (41),Snacks,39.05,Orange,2022-07-14,2029-07-24,15 months,3.3,1336,15
prod-00042,Thomas' English Muffins (42),Bakery,46.38,Red,2020-03-05,2025-03-01,34 months,3.3,1432,5
prod-00043,Popcorners Kettle Corn (43),Snacks,79.02,Purple,2022-04-13,2024-11-27,9 months,3.7,153,20
prod-00044,Popcorners Kettle Corn (44),Snacks,23.38,Yellow,2022-12-20,2027-02-23,36 months,3.8,1788,0
prod-00045,King's Hawaiian Rolls (45),Bakery,98.29,White,2020-11-05,2027-05-28,12 months,3.7,873,20
