PRODUCT_ID,PRODUCT_NAME,PRODUCT_CATEGORY,PRICE,SUPPLIER_ID,PRODUCT_COLOR,MANUFACTURING_DATE,EXPIRATION_DATE,WARRANTY_PERIOD,QUANTITY_IN_STOCK,RATING,SALES_VOLUME,WEIGHT_GRAMS,DISCOUNT_PERCENTAGE
prod-00001,Marie Callender's Chicken Pot Pie (1),Frozen Foods,71.72,9df39d76-26e4-4433-af3c-83e925c47148,Orange,2021-01-10,2027-05-14,22 months,152,4.3,1227,1013,5
prod-00002,Organic Baby Spinach (2),Vegetables,54.45,36d6369c-56fd-490d-8e85-d7c7f0ade773,Green,2021-03-07,2025-05-02,32 months,485,3.3,3572,316,5
prod-00003,Seedless Red Grapes (3),Fruits,62.34,9fb61472-76d9-4409-ad57-5d74c9d78ae5,Green,2021-06-19,2027-01-19,31 months,910,4.3,1369,1480,5
prod-00004,Cabot Vermont Cheddar (4),Dairy,85.97,c60cded2-6ddd-43bb-90d2-8a2fe2e70a95,Purple,2024-08-11,2028-02-03,34 months,320,3.4,3878,745,5
prod-00005,Russet Potatoes 5lb (5),Vegetables,90.49,4971d910-659d-45df-afb5-57955f5eec55,Orange,2022-06-07,2028-11-12,25 months,156,4.5,743,1104,0
prod-00006,Doritos Nacho Cheese (6),Snacks,84.38,a6458dda-717a-48f6-8e0a-535e423f0f02,White,2021-03-10,2028-01-29,8 months,121,3.7,2878,1409,10
prod-00007,Bananas Bunch (7),Fruits,27.29,ebdec5be-dcd3-4bcb-b98c-e40ca08d770a,Green,2019-09-23,2025-01-31,22 months,750,4.4,125,1602,25
prod-00008,Sargento Shredded Cheddar (8),Dairy,7.18,d331465e-dddd-49a2-8b8f-bf90298de76e,Green,2024-04-28,2027-12-13,10 months,70,3.1,3422,645,5
prod-00009,Oreo Double Stuf Cookies (9),Snacks,27.65,4f9dfb7e-f290-4bbe-8eb5-df7880a60eba,Yellow,2019-12-21,2027-12-02,16 months,664,3.8,2145,822,0
prod-00010,Birds Eye Steamfresh Broccoli (10),Frozen Foods,88.11,b4a21bbe-e970-428f-a30c-5490f713fa67,Green,2023-12-17,2025-11-14,8 months,171,4.4,4037,1821,20
prod-00011,Oreo Double Stuf Cookies (11),Snacks,72.35,f800c269-a924-4fb9-b030-2c4805e6b922,Orange,2023-08-28,2026-08-31,20 months,516,3.5,4907,1535,5
prod-00012,Kind Protein Bars (12),Snacks,54.78,e398d0ca-bf4c-4f6c-9859-d313323762c1,White,2020-01-02,2028-06-22,19 months,264,4.6,1125,1067,30
prod-00013,Thomas' English Muffins (13),Bakery,86.76,d6e3d10e-1709-4963-bfa9-684577970de0,Yellow,2023-06-29,2026-04-19,10 months,380,4.3,3930,1454,20
prod-00014,Marie Callender's Chicken Pot Pie (14),Frozen Foods,27.89,f7df4387-95e3-45c6-828a-d9f2dae5bdd1,Orange,2023-10-22,2027-12-17,13 months,508,4.2,1168,792,20
